OTU_ID,1AA,1AB,1AC,1AD,1AE,1AGA,1AGB,1AGC,1AGD,1AGE,1EA,1EB,1EC,1ED,1EE,1LGA,1LGE,1MA,1NA,1NB,1NC,1ND,1NE,1RA,1RB,1RC,1RD,1RE,2AAF,2ABF,2ABM,2ACF,2ADF,2AEF,2AEM,2AGAF,2AGAM,2AGBF,2AGBM,2AGCF,2AGCM,2AGDF,2AGDM,2AGEF,2AGEM,2EA,2EB,2EC,2ED,2LGB,2LGC,2LGD,2MA,2MB,2MC,2ME,2NA,2NB,2NC,2ND,2NE,Consensus Lineage
5138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,1,0,0,3,0,4,0,0,30,0,0,0,0,0,4,0,0,4,127,22,0,8,3,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales
5148,0,1,17,0,0,0,0,195,0,2,16,2,7,0,2,0,0,8,1,4,2,2,1,4,220,217,147,151,0,0,0,0,0,0,0,74,0,11,11,9,0,6,0,15,0,4,3,0,0,0,0,0,6,3,3,5,6,2,7,3,3,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
5149,60,27,48,21,12,0,0,42,15,38,621,491,142,30,131,6,1,529,273,406,467,175,332,807,139,37,32,31,459,344,258,247,604,415,169,31,1,4,43,17,0,14,0,76,25,377,721,85,276,11,11,1,140,213,177,235,555,274,391,327,99,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
5152,2,2,4,1,0,0,0,18,2,2,14,9,22,5,8,0,0,7,8,1,31,8,11,18,0,0,0,0,3,4,5,1,3,5,8,5,0,2,3,1,1,0,0,6,0,11,25,1,4,1,4,1,0,0,0,2,4,1,0,1,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
5156,1,0,2,0,1,0,0,6,2,5,2,9,0,0,0,3,6,2,2,2,7,10,11,16,8,1,2,0,0,12,2,0,4,7,0,0,0,4,0,0,0,1,0,0,0,4,8,0,0,48,30,78,0,1,3,0,12,1,0,1,6,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
5170,0,0,1,0,0,0,0,3,0,0,17,2,0,0,0,0,0,135,9,67,23,9,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,14,21,6,3,7,4,21,7,3,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
5174,0,2,8,1,11,0,0,4,0,1,143,33,32,21,36,2,0,63,16,21,46,6,42,49,2,1,0,0,26,14,34,10,7,8,6,0,5,0,0,2,0,0,0,0,0,239,91,28,42,0,1,0,17,24,21,16,48,16,63,27,21,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__gelidilacus
5183,0,0,5,1,0,0,0,31,5,1,1,44,1,0,0,66,10,5,6,28,41,18,8,68,0,0,0,0,11,29,6,19,3,12,14,22,0,32,0,5,0,1,0,14,0,37,24,0,0,252,387,460,1,1,0,12,69,25,0,15,24,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae
5199,2,0,3,1,0,0,0,12,0,3,12,2,11,0,4,0,0,24,21,17,11,28,5,15,18,13,8,13,0,11,0,0,2,1,0,10,0,7,29,3,0,2,0,6,0,1,12,0,0,0,0,0,6,8,23,12,13,4,36,8,16,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,11,22,0,29,111,48,0,9,5,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae
5233,0,0,0,0,1,0,0,2,0,2,8,2,3,0,0,0,0,5,7,10,54,8,14,14,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,3,1,0,0,0,0,0,4,5,0,10,5,4,0,2,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
5243,0,8,22,4,4,1,0,1,11,5,163,195,39,49,8,44,22,359,244,268,569,108,439,411,44,9,5,2,64,73,23,48,112,91,46,7,13,2,14,3,0,2,6,27,10,365,451,62,213,59,66,1,207,213,107,267,637,222,592,231,95,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
